Time,target
"""2024-03-05T15:09:00+08:00""",166974.9524927061
"""2024-03-05T15:24:00+08:00""",169120.09951813033
"""2024-03-05T15:39:00+08:00""",173434.18019227107
"""2024-03-05T15:54:00+08:00""",175337.8875811883
"""2024-03-05T16:09:00+08:00""",177733.01083745735
"""2024-03-05T16:24:00+08:00""",181446.2918505371
"""2024-03-05T16:39:00+08:00""",185722.12787840315
"""2024-03-05T16:54:00+08:00""",190890.52038585598
"""2024-03-05T17:09:00+08:00""",196284.80070625263
"""2024-03-05T17:24:00+08:00""",201834.40217023497
"""2024-03-05T17:39:00+08:00""",210859.42037657741
"""2024-03-05T17:54:00+08:00""",216349.85344267052
"""2024-03-05T18:09:00+08:00""",225902.28627699908
"""2024-03-05T18:24:00+08:00""",225942.25072725455
"""2024-03-05T18:39:00+08:00""",230462.83622140053
"""2024-03-05T18:54:00+08:00""",237999.26400600435
"""2024-03-05T19:09:00+08:00""",243794.08947815912
"""2024-03-05T19:24:00+08:00""",248072.0577543609
"""2024-03-05T19:39:00+08:00""",253069.67454468546
"""2024-03-05T19:54:00+08:00""",258244.24476100158
"""2024-03-05T20:09:00+08:00""",263724.1004158693
"""2024-03-05T20:24:00+08:00""",268774.9383634668
"""2024-03-05T20:39:00+08:00""",272670.3700606827
"""2024-03-05T20:54:00+08:00""",271629.7917000724
"""2024-03-05T21:09:00+08:00""",273974.56439396867
"""2024-03-05T21:24:00+08:00""",275490.60186428315
"""2024-03-05T21:39:00+08:00""",275441.36474978656
"""2024-03-05T21:54:00+08:00""",273038.86814336124
"""2024-03-05T22:09:00+08:00""",269419.5172420608
"""2024-03-05T22:24:00+08:00""",263950.6941484777
"""2024-03-05T22:39:00+08:00""",256137.74952469647
"""2024-03-05T22:54:00+08:00""",246367.02124866538
"""2024-03-05T23:09:00+08:00""",234992.1682717769
"""2024-03-05T23:24:00+08:00""",223135.56964967598
"""2024-03-05T23:39:00+08:00""",210002.00448910714
"""2024-03-05T23:54:00+08:00""",194519.52632690463
"""2024-03-06T00:09:00+08:00""",177798.7305723021
"""2024-03-06T00:24:00+08:00""",160113.88931540455
"""2024-03-06T00:39:00+08:00""",141413.69404900438
"""2024-03-06T00:54:00+08:00""",125367.44927375704
"""2024-03-06T01:09:00+08:00""",112585.46670501208
"""2024-03-06T01:24:00+08:00""",97625.30713075606
"""2024-03-06T01:39:00+08:00""",85644.92921490163
"""2024-03-06T01:54:00+08:00""",74971.55550919258
"""2024-03-06T02:09:00+08:00""",67393.00960616775
"""2024-03-06T02:24:00+08:00""",61723.20548559935
"""2024-03-06T02:39:00+08:00""",55780.3450878827
"""2024-03-06T02:54:00+08:00""",51479.39647749567
"""2024-03-06T03:09:00+08:00""",46855.16352399212
"""2024-03-06T03:24:00+08:00""",43500.16433829535
"""2024-03-06T03:39:00+08:00""",41012.090392268525
"""2024-03-06T03:54:00+08:00""",39798.24443210073
"""2024-03-06T04:09:00+08:00""",38646.18488408552
"""2024-03-06T04:24:00+08:00""",38094.37594928775
"""2024-03-06T04:39:00+08:00""",36205.4638899067
"""2024-03-06T04:54:00+08:00""",36770.503429651646
"""2024-03-06T05:09:00+08:00""",38421.64698290661
"""2024-03-06T05:24:00+08:00""",40883.74892334741
"""2024-03-06T05:39:00+08:00""",46183.46940547782
"""2024-03-06T05:54:00+08:00""",53131.51142482771
"""2024-03-06T06:09:00+08:00""",62800.59244697538
"""2024-03-06T06:24:00+08:00""",77278.69972507708
"""2024-03-06T06:39:00+08:00""",92618.01036829632
"""2024-03-06T06:54:00+08:00""",108460.64290552094
"""2024-03-06T07:09:00+08:00""",122742.71270783762
"""2024-03-06T07:24:00+08:00""",132656.75827100093
"""2024-03-06T07:39:00+08:00""",136719.18380478045
"""2024-03-06T07:54:00+08:00""",135353.00820493433
"""2024-03-06T08:09:00+08:00""",133693.27887649005
"""2024-03-06T08:24:00+08:00""",133963.61488910764
"""2024-03-06T08:39:00+08:00""",132706.88276569854
"""2024-03-06T08:54:00+08:00""",132481.80532613286
"""2024-03-06T09:09:00+08:00""",133531.9825529983
"""2024-03-06T09:24:00+08:00""",133490.45398017464
"""2024-03-06T09:39:00+08:00""",134723.3389518866
"""2024-03-06T09:54:00+08:00""",135938.96093224382
"""2024-03-06T10:09:00+08:00""",140121.25469950374
"""2024-03-06T10:24:00+08:00""",143617.92822906785
"""2024-03-06T10:39:00+08:00""",143372.51841889234
"""2024-03-06T10:54:00+08:00""",145824.79945530047
"""2024-03-06T11:09:00+08:00""",148824.02103163666
"""2024-03-06T11:24:00+08:00""",153915.58022872484
"""2024-03-06T11:39:00+08:00""",159102.1352978541
"""2024-03-06T11:54:00+08:00""",164853.56740446296
"""2024-03-06T12:09:00+08:00""",175106.20092392567
"""2024-03-06T12:24:00+08:00""",185869.25626178816
"""2024-03-06T12:39:00+08:00""",200884.57453261167
"""2024-03-06T12:54:00+08:00""",208616.73031921108
"""2024-03-06T13:09:00+08:00""",206965.5951747542
"""2024-03-06T13:24:00+08:00""",199122.2250389726
"""2024-03-06T13:39:00+08:00""",188625.64031994747
"""2024-03-06T13:54:00+08:00""",177385.0977177338
"""2024-03-06T14:09:00+08:00""",168453.91655581156
"""2024-03-06T14:24:00+08:00""",161463.26721757054
"""2024-03-06T14:39:00+08:00""",157743.87274514683
"""2024-03-06T14:54:00+08:00""",154782.1201425357
"""2024-03-06T15:09:00+08:00""",153987.80015329784
"""2024-03-06T15:24:00+08:00""",156698.63304697772
"""2024-03-06T15:39:00+08:00""",158032.66645128131
"""2024-03-06T15:54:00+08:00""",163045.67968613826
"""2024-03-06T16:09:00+08:00""",166825.82451388452
"""2024-03-06T16:24:00+08:00""",171014.3887754318
"""2024-03-06T16:39:00+08:00""",175998.8385891135
"""2024-03-06T16:54:00+08:00""",180398.2880224744
"""2024-03-06T17:09:00+08:00""",187909.59902185315
"""2024-03-06T17:24:00+08:00""",194814.414400178
"""2024-03-06T17:39:00+08:00""",203310.57340920807
"""2024-03-06T17:54:00+08:00""",209843.57511018508
"""2024-03-06T18:09:00+08:00""",219029.04032397075
